Timestamp,What is your favorite color?,Gender?,What is your age? (Optional),What is your Myers-Briggs Type? (Optional)
12/27/2016 8:06:55,,,,
12/27/2016 8:21:34,Pink,Male,18,INTP
12/27/2016 8:31:00,Yellow,Male,18,
12/27/2016 8:32:27,Brown,Female,25,INFJ
12/27/2016 8:37:22,Grey,Male,14,
12/27/2016 8:42:23,Red,Male,26,
12/27/2016 8:42:49,Troll,Female,12,INTJ
12/27/2016 8:43:44,Violet,Female,28,
12/27/2016 8:54:26,Red,Female,18,
12/27/2016 8:58:57,Orange,Male,25,INTP
12/27/2016 8:59:32,Grey,Male,21,INTP
12/27/2016 9:01:30,Green,Female,42,INFJ
12/27/2016 9:02:01,,Female,44,INTJ
12/27/2016 9:02:29,Red,Female,44,INTJ
12/27/2016 9:03:41,,Male,22,
12/27/2016 9:03:58,Violet,Male,23,
12/27/2016 9:06:10,Violet,Male,19,INFJ
12/27/2016 9:10:34,,Male,23,
12/27/2016 9:12:16,Cyan,Female,19,ISFJ
12/27/2016 9:12:48,,Female,31,
12/27/2016 9:13:12,Black,Female,42,
12/27/2016 9:16:34,Green,Female,20,INTJ
12/27/2016 9:17:04,Blue,Other,19,
12/27/2016 9:19:38,Violet,Female,27,
12/27/2016 9:25:41,Violet,Female,30,ISFP
12/27/2016 9:26:47,,,,
12/27/2016 9:28:05,Violet,Male,23,ENFP
12/27/2016 9:28:52,Orange,Male,20,INTJ
12/27/2016 9:29:25,Blue,Female,,
12/27/2016 9:34:29,Green,Male,33,INTJ
12/27/2016 9:39:06,Yellow,Male,18,ENTP
12/27/2016 9:39:19,Violet,Female,27,INTJ
12/27/2016 9:41:55,,Male,21,INFJ
12/27/2016 9:41:57,Blue,Male,16,
12/27/2016 9:42:30,Red,Male,,INTJ
12/27/2016 9:42:31,,,,
12/27/2016 9:43:29,Green,Female,23,ISFP
12/27/2016 9:43:35,Blue,Female,29,INTJ
12/27/2016 9:44:21,Blue,Male,22,INTJ
12/27/2016 9:47:05,Brown,Male,20,ENTJ
12/27/2016 9:47:22,Blue,Female,25,INFP
12/27/2016 9:47:43,Green,Female,20,
12/27/2016 9:49:35,,Male,15,
12/27/2016 9:50:33,Green,Female,23,
12/27/2016 9:50:37,Red,Male,14,
12/27/2016 9:51:36,Red,Female,50,
12/27/2016 9:53:16,,,,
12/27/2016 9:53:21,Green,Female,30,INFJ
12/27/2016 9:53:28,Violet,Other,19,INFJ
12/27/2016 9:54:11,,,,
12/27/2016 9:54:20,,Male,,
12/27/2016 9:54:22,,Female,22,INTJ
12/27/2016 9:54:47,Blue,Female,31,INFP
12/27/2016 9:54:48,Blue,Female,19,
12/27/2016 9:54:51,Blue,Female,16,ESFJ
12/27/2016 9:56:10,Blue,Male,16,ENTP
12/27/2016 9:56:23,Pink,Male,20,
12/27/2016 9:56:31,Green,Male,,
12/27/2016 9:58:13,Blue,Male,39,ENFJ
12/27/2016 9:58:41,Other,Female,36,
12/27/2016 9:58:51,,,,
12/27/2016 10:00:17,Green,Male,,
12/27/2016 10:00:17,,,,
12/27/2016 10:01:35,Violet,Male,28,
12/27/2016 10:01:52,Violet,Male,18,INTJ
12/27/2016 10:02:11,Blue,Male,19,INTJ
12/27/2016 10:02:11,Blue,Female,33,
12/27/2016 10:02:32,Violet,Female,23,ENFP
12/27/2016 10:03:42,Black,Male,20,
12/27/2016 10:03:49,Black,Male,18,
12/27/2016 10:04:07,,,,
12/27/2016 10:04:37,Green,Female,25,
12/27/2016 10:04:37,Violet,Female,25,INFJ
12/27/2016 10:05:57,Green,Female,,
12/27/2016 10:06:27,Red,Female,23,
12/27/2016 10:08:19,Blue,Male,17,
12/27/2016 10:08:38,Red,Male,21,
12/27/2016 10:09:47,Red,Female,24,
12/27/2016 10:10:43,,Male,17,
